2026-04-05T13:25:35.791910 | ALT-1775375735-1 | MAJOR | Confidence: 84.6% | Services: Police, Ambulance
2026-04-05T13:25:41.023856 | ALT-1775375741-2 | MAJOR | Confidence: 91.2% | Services: Police, Ambulance
2026-04-05T13:25:47.194471 | ALT-1775375747-3 | MAJOR | Confidence: 87.1% | Services: Police, Ambulance
2026-04-05T13:25:54.490153 | ALT-1775375754-4 | MAJOR | Confidence: 85.6% | Services: Police, Ambulance
2026-04-05T13:26:10.810327 | ALT-1775375770-5 | MAJOR | Confidence: 84.6% | Services: Police, Ambulance
2026-04-05T13:26:17.482110 | ALT-1775375777-6 | MAJOR | Confidence: 84.8% | Services: Police, Ambulance
2026-04-05T15:27:07.628504 | ALT-1775383027-1 | MAJOR | Confidence: 90.0% | Services: Police, Ambulance
2026-04-05T15:27:31.824016 | ALT-1775383051-2 | MAJOR | Confidence: 90.0% | Services: Police, Ambulance
2026-04-05T15:27:55.661003 | ALT-1775383075-3 | MAJOR | Confidence: 90.0% | Services: Police, Ambulance
2026-04-05T15:29:21.757882 | ALT-1775383161-4 | MAJOR | Confidence: 90.0% | Services: Police, Ambulance
2026-04-05T17:50:06.088975 | ALT-1775391606-1 | MAJOR | Confidence: 90.0% | Services: Police, Ambulance
