[2026-03-29T20:36:01.288321] ERROR: Error logging accident: Object of type float32 is not JSON serializable
[2026-03-29T20:39:40.240144] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:39:42.076359] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:39:44.325743] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:39:45.567552] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:39:46.959287] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:39:48.314405] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:39:50.510599] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:39:51.606375] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:39:53.053114] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:39:54.943475] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:39:55.203947] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:39:55.458924] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:39:56.641833] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:39:57.177278] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:39:58.003850] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:39:58.378914] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:39:59.520261] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:40:01.711610] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:40:02.076542] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:40:02.445537] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:40:02.674405] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:40:03.045787] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:40:03.249047] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:40:04.975746] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:40:05.202997] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:40:06.593027] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:40:07.299650] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:40:07.823476] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:40:16.428808] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:40:27.629873] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:40:28.714305] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:40:37.334609] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:40:42.088127] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:40:48.761383] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:40:49.725679] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:40:56.777489] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:41:01.756091] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:41:13.773749] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:41:16.807536] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:41:20.684162] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:41:27.579456] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:41:28.409478] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:41:38.091353] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:41:43.349030] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:41:47.172592] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:41:48.890555] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:41:50.079561] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:42:12.490101] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:42:27.243696] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:42:32.718116] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:42:38.173152] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:42:48.973981] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:42:49.666612] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:42:51.065232] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:42:58.667371] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:43:01.575963] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:43:05.308269] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:43:10.784072] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:43:12.042306] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:43:13.790306] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:43:22.763493] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:43:35.246503] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:43:37.764715] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:43:40.672767] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:43:45.844477] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:43:47.410456] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:43:48.947528] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:43:55.321516] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:44:02.547872] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:44:03.686590] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:44:06.687801] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:44:13.568764] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:44:14.939564] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:44:16.316916] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:44:19.525064] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:44:23.639573] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:44:26.343730] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:44:34.410878] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:44:40.147533] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:44:42.485191] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:44:45.743651] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:44:46.636472] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:44:48.798780] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:44:52.314247] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:44:54.879253] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:44:56.180939] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:45:04.563423] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:45:05.842629] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:45:07.389038] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:45:08.981502] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:45:10.003246] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:45:11.965434] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:45:13.455749] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:45:14.079722] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:45:22.577451] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:45:30.779351] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:45:36.822158] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:45:46.033286] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:45:54.513767] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:46:01.986382] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:46:07.056099] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:46:08.433029] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
[2026-03-29T20:46:16.821413] ERROR: Error logging accident: Expecting value: line 5 column 19 (char 96)
